symbol,block,door,pl,pc,height,width,top,material,wood,sizecategory,ups
0,3,2,5,0,0.4,1.105,1.8,2,1,2,'02510180'
0,3,2,5,0,0.4,0.805,1.8,2,1,2,'02510180'
0,5,4,9,0,1.75,3.535,1.8,2,1,0,'02510150'
0,5,4,9,0,1.75,2.625,1.8,2,1,0,'02510150'
4,3,1,5,0,0.47,1.26,2.27,2,1,2,'02510180'
0,3,2,5,0,1.02,1.715,1.8,2,1,1,'02510150'
3,4,1,8,0,1.75,0.805,1.8,2,1,0,'02510150'
0,3,2,5,0,0.9,1.715,1.8,2,1,1,'02510150'
0,3,2,5,0,0.4,1.105,1.8,2,1,2,'02510180'
0,3,2,5,0,0.4,0.805,1.8,2,1,2,'02510180'
0,5,4,9,0,1.75,3.535,1.8,2,1,0,'02510150'
0,5,4,9,0,1.75,2.625,1.8,2,1,0,'02510150'
4,3,1,5,0,0.47,1.26,2.27,2,1,2,'02510180'
0,3,2,5,0,1.02,1.715,1.8,2,1,1,'02510150'
3,4,1,8,0,1.75,0.805,1.8,2,1,0,'02510150'
0,3,2,5,0,0.9,1.715,1.8,2,1,1,'02510150'
2,3,2,3,2,2.3,1.26,2.3,1,5,1,'02540040'
4,3,1,5,0,0.9,0.35,1.8,1,5,0,'02540420'
3,4,1,6,2,2.1,0.805,2.3,1,5,1,'02540150'
2,2,1,2,1,2.1,0.805,2.1,2,0,0,'02510030'
3,4,1,5,2,2.1,0.805,2.1,2,0,0,'02510030'
2,2,1,2,1,2.1,0.805,2.1,1,5,1,'02540330'
2,2,1,2,1,1.9,0.805,2.13,0,5,1,'02540260'
2,2,1,2,1,1.35,0.805,2.15,0,5,1,'02540260'
2,2,1,2,1,2,0.805,2,1,5,1,'02540400'
2,3,2,3,2,1.9,1.26,1.9,2,0,0,'02510030'
0,4,3,7,0,1.9,2.625,1.9,2,3,0,'02510350'
2,3,2,3,2,2.1,1.26,2.1,2,0,0,'02510030'
3,4,1,6,2,2.1,0.805,2.1,2,0,0,'02510030'
0,3,2,5,0,0.45,1.261,1.4,0,5,0,'02540260'
3,4,1,5,2,2.1,1.259,2.1,2,0,0,'02510030'
0,3,2,5,0,1.9,1.715,2.17,0,5,1,'02540260'
2,2,1,2,1,0.9,0.805,2.15,0,5,0,'02540260'
2,2,1,2,1,1.9,0.805,2.17,0,5,1,'02540260'
0,3,2,5,0,0.55,1.715,2.1,0,5,0,'02540260'
0,3,2,5,0,1.35,1.26,2.15,0,5,1,'02540260'
3,5,1,6,4,2.1,1.715,2.1,2,0,0,'02510030'
3,4,1,5,2,2.1,1.26,2.1,2,0,0,'02510030'
2,2,1,2,1,1.35,0.805,2.16,0,5,1,'02540260'
2,2,1,2,1,0.9,0.576,2.15,0,5,0,'02540260'
2,2,1,2,1,1.2,0.585,1.9,0,5,0,'02540260'
4,3,1,5,0,1.35,0.805,2.15,0,5,1,'02540260'
4,3,1,5,0,1.2,0.609,2.3,0,5,0,'02540260'
2,2,1,2,1,0.9,0.613,2.15,0,5,1,'02540260'
0,3,2,5,0,1.35,0.805,2.15,2,0,1,'02510060'
0,3,2,5,0,1.75,1.715,1.65,1,5,1,'02540090'
0,3,2,5,0,1,1.715,1.8,0,5,1,'02540180'
2,2,1,2,1,1.73,0.805,1.58,2,1,0,'02510120'
0,3,2,5,0,0.7,0.805,1.8,2,1,2,'02510180'
0,3,2,5,0,0.6,0.805,1.8,2,1,2,'02510180'
2,2,1,2,1,1.73,0.65,1.73,2,1,0,'02510120'
0,3,2,5,0,1.73,1.715,1.73,2,1,0,'02510120'
0,3,2,5,0,0.8,1.795,1.8,2,1,2,'02510120'
0,3,2,5,0,0.9,0.8,1.8,2,1,1,'02510150'
6,3,2,7,0,0.8,1.715,1.8,0,5,1,'02540180'
0,3,2,5,0,0.7,0.75,1.8,2,1,2,'02510180'
0,3,2,5,0,0.7,1.715,1.8,2,1,2,'02510180'
3,4,1,8,0,1.73,0.805,1.73,2,1,0,'02510120'
3,4,1,8,0,1.73,0.805,1.43,2,1,0,'02510120'
3,4,1,8,0,1.8,0.805,1.8,2,1,0,'02510120'
0,5,4,9,0,1.73,3.535,1.73,2,4,0,'02510260'
0,5,4,9,0,1.73,2.625,1.73,2,3,0,'02510350'
0,5,4,9,0,1.73,3.535,1.73,2,1,0,'02510120'
0,3,2,5,0,1.35,1.715,1.8,2,1,1,'02510150'
2,2,1,2,1,1.73,0.805,1.73,2,1,0,'02510150'
0,3,2,5,0,1.73,1.715,1.73,2,3,0,'02510350'
0,5,4,9,0,1.73,3.535,1.73,2,3,0,'02510350'
3,4,1,8,0,1.73,0.805,1.73,2,3,0,'02510350'
0,3,2,5,0,1.73,0.805,1.73,2,1,0,'02510150'
0,3,2,5,0,1.73,1.415,1.73,2,1,0,'02510150'
0,3,2,5,0,1.73,1.715,1.73,2,3,0,'02510120'
4,3,1,5,0,0.26,1.715,2.17,1,5,0,'02540420'
0,3,2,5,0,2.1,1.715,2.1,1,5,1,'02540120'
0,5,4,9,0,2,2.625,2,0,5,1,'02540260'
0,3,2,5,0,0.9,1.26,2.32,0,5,1,'02540260'
0,3,2,5,0,0.9,0.805,2.32,0,5,0,'02540250'
0,3,2,5,0,2.22,1.715,2.22,0,5,1,'02540260'
0,3,2,5,0,0.9,1.715,2.32,0,5,1,'02540260'
3,4,1,6,2,2,0.805,2,1,5,1,'02540330'
4,3,1,5,0,1.8,0.4,2.2,1,5,0,'02530030'
2,2,1,2,1,2.4,0.805,2.5,1,5,1,'02530120'
4,3,1,5,0,0.7,0.4,2.2,1,5,0,'02540420'
3,4,1,8,0,2,0.805,2,2,0,0,'02510030'
3,4,1,6,2,2,0.805,2,1,5,1,'02530300'
2,3,2,3,2,2,0.805,2,2,0,0,'02510030'
4,3,1,5,0,0.75,0.6,2.2,1,5,0,'02540420'
2,2,1,2,1,2,0.805,2,2,0,0,'02510030'
4,3,1,5,0,0.5,1.5,1.5,1,5,0,'02540420'
2,2,1,2,1,1.1,0.805,2.2,2,1,1,'02510140'
0,3,2,5,0,1.1,1.715,2.2,0,5,1,'02540260'
0,4,3,7,0,2,2.17,2,2,0,0,'02510030'
0,3,2,5,0,2,1.715,2.2,0,5,1,'02540260'
0,5,4,9,0,2,2.625,2.2,0,5,1,'02540260'
0,4,3,7,0,2.2,2.625,2.2,2,0,0,'02510030'
3,5,1,6,4,2.2,2.625,2.2,2,0,0,'02510030'
0,3,2,5,0,2.2,1.715,2.2,2,1,0,'02510120'
4,3,1,5,0,0.5,0.6,1.95,2,1,2,'02510180'
2,3,2,3,2,2,0.805,2.1,2,0,0,'02510030'
2,2,1,2,1,1.1,0.35,2.2,1,5,0,'02540430'
0,4,3,7,0,2,2.625,2,2,0,0,'02510030'
2,2,1,2,1,2,0.695,2,1,5,1,'02540330'
0,3,2,5,0,1.1,1.715,2.1,0,5,1,'02540260'
0,3,2,5,0,2,2.625,2,0,5,1,'02540260'
4,3,1,5,0,0.9,0.3,1.9,1,5,0,'02540420'
2,2,1,2,1,2.3,0.805,2.1,1,5,1,'02540060'
4,3,1,5,0,1.1,0.6,1.95,1,5,0,'02540420'
0,3,2,5,0,0.9,1.715,1.8,0,5,1,'02540260'
4,3,1,5,0,0.3,1.15,1.7,1,5,0,'02540420'
0,3,2,5,0,0.9,1.715,2,0,5,1,'02540260'
0,3,2,5,0,0.3,1.715,1.4,0,5,0,'02540250'
0,3,2,5,0,0.9,1.26,2,0,5,1,'02540260'
0,3,2,5,0,0.3,1.715,1.2,0,5,0,'02540250'
4,3,1,5,0,0.9,0.6,2.2,0,5,0,'02540250'
0,3,2,5,0,1.8,1.715,1.8,2,0,0,'02510030'
0,3,2,5,0,2,1.715,2,2,0,0,'02510030'
2,3,2,3,2,1.8,1.26,1.8,2,0,0,'02510030'
3,4,1,7,2,2,0.805,2,2,4,0,'02510260'
0,5,4,9,0,1.8,3.535,1.8,2,0,0,'02510030'
3,4,1,7,2,1.8,0.805,1.8,2,0,0,'02510030'
3,4,1,6,2,2,0.805,2,2,0,0,'02510030'
0,4,4,7,0,2,3.535,2,2,0,0,'02510030'
3,4,1,7,2,2,0.805,2,2,0,0,'02510030'
0,3,2,5,0,0.9,1.715,1.8,2,4,1,'02510290'
0,5,4,9,0,1.85,3.535,1.85,2,4,0,'02510260'
2,2,1,2,1,2,0.805,2,2,0,0,'02510030'
0,3,2,5,0,0.9,1.715,1.9,0,5,1,'02540180'
3,5,1,6,4,2.35,0.75,2.35,2,0,0,'02510030'
4,3,1,5,0,0.6,0.6,2.5,1,5,0,'02540420'
0,3,2,5,0,2.3,1.715,2.3,2,0,0,'02510030'
0,3,2,5,0,1.8,1.715,1.8,1,5,1,'02540140'
4,3,1,5,0,0.3,1.2,3.6,1,5,0,'02540420'
0,4,3,7,0,2,2.625,2,2,0,0,'02510030'
2,2,1,2,1,2,0.695,2,1,5,1,'02540330'
0,3,2,5,0,1.1,1.715,2.1,0,5,1,'02540260'
0,3,2,5,0,2,2.625,2,0,5,1,'02540260'
4,3,1,5,0,0.9,0.3,1.9,1,5,0,'02540420'
2,2,1,2,1,2.3,0.805,2.1,1,5,1,'02540060'
4,3,1,5,0,1.1,0.6,1.95,1,5,0,'02540420'
0,3,2,5,0,0.9,1.715,1.8,0,5,1,'02540260'
4,3,1,5,0,0.3,1.15,1.7,1,5,0,'02540420'
0,3,2,5,0,0.9,1.715,2,0,5,1,'02540260'
0,3,2,5,0,0.3,1.715,1.4,0,5,0,'02540250'
0,3,2,5,0,0.9,1.26,2,0,5,1,'02540260'
0,3,2,5,0,0.3,1.715,1.2,0,5,0,'02540250'
4,3,1,5,0,0.9,0.6,2.2,0,5,0,'02540250'
0,3,2,5,0,1.8,1.715,1.8,2,0,0,'02510030'
0,3,2,5,0,2,1.715,2,2,0,0,'02510030'
3,4,1,7,2,2,0.805,2,2,4,0,'02510260'
0,5,4,9,0,1.8,3.535,1.8,2,0,0,'02510030'
3,4,1,7,2,1.8,0.805,1.8,2,0,0,'02510030'
3,4,1,6,2,2,0.805,2,2,0,0,'02510030'
0,4,4,7,0,2,3.535,2,2,0,0,'02510030'
3,4,1,7,2,2,0.805,2,2,0,0,'02510030'
0,3,2,5,0,0.9,1.715,1.8,2,4,1,'02510290'
0,5,4,9,0,1.85,3.535,1.85,2,4,0,'02510260'
2,2,1,2,1,2,0.805,2,2,0,0,'02510030'
3,5,1,6,4,2.35,0.75,2.35,2,0,0,'02510030'
4,3,1,5,0,0.6,0.6,2.5,1,5,0,'02540420'
0,3,2,5,0,1.8,1.715,1.8,1,5,1,'02540140'
2,3,2,3,2,1.8,1.2,1.8,2,0,0,'02510030'
6,3,2,7,0,0.9,1.715,1.9,0,5,1,'02540180'
0,3,2,5,0,2.3,1.715,2.3,2,0,0,'02510030'
7,0,0,0,0,2.1,1.712,0,0,0,0,'02530360'
0,3,2,5,0,0.35,1.712,1.8,0,5,0,'02540170'
0,3,2,5,0,0.6,1.712,1.8,0,5,1,'02540180'
3,5,1,6,4,2.4,1.56,2.4,2,0,0,'02510030'
4,3,1,5,0,1.15,1.26,2.32,1,5,1,'02540420'
2,3,1,3,2,2.2,1.26,2.2,1,5,1,'02540020'
0,2,2,2,1,2,0.805,2.25,2,0,0,'02510030'
2,3,2,3,2,0.9,0.6,1.15,2,0,1,'02510060'
2,3,2,3,2,2,0.805,2,2,0,0,'02510030'
2,3,2,3,2,2,0.64,2,2,0,0,'02510030'
3,4,1,7,2,2,0.975,2,2,0,0,'02510030'
2,2,1,2,1,2,0.955,2,2,0,0,'02510030'
0,5,4,9,0,2,3.535,2,2,3,0,'02510350'
0,5,4,9,0,2.2,3.535,2.2,2,4,0,'02510260'
0,3,2,5,0,1.943,1.865,1.943,0,5,1,'02540180'
0,3,2,5,0,2.2,2.285,2.2,0,5,1,'02540180'
2,2,1,2,1,0.85,0.546,1.75,0,5,0,'02540170'
2,2,1,3,1,0.85,0.546,1.75,0,5,0,'02540170'
0,3,2,5,0,1.8,1.715,1.8,0,5,1,'02540180'
6,3,2,7,0,1.2,1.675,1.95,0,5,1,'02540180'
0,3,2,5,0,0.85,0.805,1.75,0,5,0,'02540170'
2,2,1,2,1,2,0.805,1.9,1,5,1,'02540120'
4,3,1,5,0,0.75,0.35,1.8,1,5,0,'02540120'
0,3,2,5,0,2,1.715,2,2,0,0,'02510030'
3,4,1,6,2,2,0.87,2,2,0,0,'02510030'
0,3,2,5,0,0.73,0.805,0.93,0,5,0,'02540170'
0,3,2,5,0,0.45,1.715,1,0,5,0,'02540170'
0,3,2,5,0,0.75,0.75,2.4,0,5,0,'02540170'
3,4,1,6,2,2,0.855,2,2,0,0,'02510030'
3,4,1,7,2,2,0.855,2,2,0,0,'02510030'
0,3,2,5,0,1.2,0.805,2,0,5,0,'02540170'
0,3,2,5,0,1.2,1.715,2,0,5,1,'02540180'
0,3,2,5,0,1.2,1.715,2.5,0,5,1,'02540180'
2,3,2,3,2,2,1.355,2,2,0,0,'02510030'
0,3,2,5,0,0.9,1.715,1.5,0,5,1,'02540180'
3,5,1,6,4,2.4,1.56,2.4,2,0,0,'02510030'
4,3,1,5,0,1.15,1.26,2.32,1,5,1,'02540420'
2,3,1,3,2,2.2,1.26,2.2,1,5,1,'02540020'
0,2,2,2,1,2,0.805,2.25,2,0,0,'02510030'
2,3,2,3,2,0.9,0.6,1.15,2,0,1,'02510060'
2,3,2,3,2,2,0.805,2,2,0,0,'02510030'
2,3,2,3,2,2,0.64,2,2,0,0,'02510030'
3,4,1,7,2,2,0.975,2,2,0,0,'02510030'
2,2,1,2,1,2,0.955,2,2,0,0,'02510030'
0,5,4,9,0,2,3.535,2,2,3,0,'02510350'
0,5,4,9,0,2.2,3.535,2.2,2,4,0,'02510260'
0,3,2,5,0,1.943,1.865,1.943,0,5,1,'02540180'
0,3,2,5,0,2.2,2.285,2.2,0,5,1,'02540180'
2,2,1,2,1,0.85,0.546,1.75,0,5,0,'02540170'
2,2,1,3,1,0.85,0.546,1.75,0,5,0,'02540170'
0,3,2,5,0,1.8,1.715,1.8,0,5,1,'02540180'
6,3,2,7,0,1.2,1.675,1.95,0,5,1,'02540180'
0,3,2,5,0,0.85,0.805,1.75,0,5,0,'02540170'
2,2,1,2,1,2,0.805,1.9,1,5,1,'02540120'
4,3,1,5,0,0.75,0.35,1.8,1,5,0,'02540120'
0,3,2,5,0,2,1.715,2,2,0,0,'02510030'
3,4,1,6,2,2,0.87,2,2,0,0,'02510030'
0,3,2,5,0,0.73,0.805,0.93,0,5,0,'02540170'
0,3,2,5,0,0.45,1.715,1,0,5,0,'02540170'
0,3,2,5,0,0.75,0.75,2.4,0,5,0,'02540170'
3,4,1,6,2,2,0.855,2,2,0,0,'02510030'
3,4,1,7,2,2,0.855,2,2,0,0,'02510030'
0,3,2,5,0,1.2,0.805,2,0,5,0,'02540170'
0,3,2,5,0,1.2,1.715,2,0,5,1,'02540180'
0,3,2,5,0,1.2,1.715,2.5,0,5,1,'02540180'
2,3,2,3,2,2,1.355,2,2,0,0,'02510030'
0,3,2,5,0,0.9,1.715,1.5,0,5,1,'02540180'
0,3,2,5,0,0.75,1.715,2.7,0,5,1,'02540180'
0,3,2,5,0,0.9,1.715,2.7,0,5,1,'02540180'
0,3,2,5,0,0.9,1.715,1.8,0,5,1,'02540180'
3,4,1,8,0,2,0.945,2,0,5,1,'02540180'
0,3,2,5,0,0.7,0.805,1.8,0,5,0,'02540170'
6,3,2,7,0,0.7,1.26,1.8,0,5,0,'02540170'
0,3,2,5,0,1.8,1.715,2.2,2,1,0,'02510120'
0,5,4,9,0,1.8,3.535,2.2,2,1,0,'02510120'
0,4,3,7,0,1.8,2.625,1.8,2,1,0,'02510120'
0,3,2,5,0,2,1.715,2.4,2,1,0,'02510120'
3,4,1,8,0,2,0.805,2,2,1,0,'02510120'
0,3,2,5,0,1.8,1.715,1.8,2,0,0,'02510030'
2,3,2,3,2,2,0.805,2,2,0,0,'02510030'
0,4,3,7,0,1.8,1.26,1.8,0,5,1,'02540180'
2,2,1,2,1,1.1,0.35,1.8,0,5,0,'02540170'
4,3,1,5,0,1.1,0.805,1.8,0,5,0,'02540170'
0,3,2,5,0,1.1,1.715,1.8,0,5,1,'02540180'
0,4,3,7,0,1.1,2.625,1.8,0,5,1,'02540180'
0,3,2,5,0,2.55,1.715,2.2,0,5,1,'02540180'
3,5,1,6,4,2.3,1.715,2.3,2,0,0,'02510030'
3,4,1,8,0,2,0.805,2,2,0,0,'02510030'
3,5,1,6,4,2.3,1.855,2.3,2,0,0,'02510030'
0,3,2,5,0,2,1.715,2,2,0,0,'02510030'
0,3,2,5,0,2,1.855,2,2,0,0,'02510030'
3,4,1,8,0,1.8,0.805,1.8,2,0,1,'02510030'
0,5,4,9,0,1.8,2.625,1.8,2,0,0,'02510030'
2,2,1,2,1,0.9,0.595,1.8,0,5,0,'02540170'
7,0,0,0,0,2.7,2.765,0,0,0,0,'02530320'
0,5,4,9,0,2.7,2.765,2.7,0,5,1,'02540180'
9,3,1,6,0,0.75,1.385,0.8,2,0,2,'02510090'
4,3,1,5,0,1.6,1.7,2.3,1,5,1,'02540420'
0,3,2,5,0,2.1,1.7,2.1,0,5,1,'02540260'
0,3,2,5,0,1.9,2,1.9,2,1,0,'02510120'
2,2,1,2,1,1.8,0.79,1.8,2,0,0,'02510030'
3,4,1,6,2,1.8,0.562,1.8,2,0,0,'02510030'
3,4,1,5,2,2,0.79,2,1,5,1,'02540060'
3,4,1,5,2,1.8,0.79,1.8,1,5,1,'02540390'
2,2,1,2,1,1.8,0.79,1.48,1,5,1,'02540330'
4,3,1,5,0,0.85,0.335,1.8,1,5,0,'02540420'
0,3,2,5,0,0.9,1.7,1.8,0,5,1,'02540260'
0,3,2,5,0,0.3,1.245,0.3,0,5,0,'02540250'
0,3,2,5,0,0.35,0.79,3.05,0,5,0,'02540250'
0,3,2,5,0,1.8,1.7,1.8,2,0,0,'02510030'
3,4,1,6,2,1.8,0.79,1.8,2,1,0,'02510120'
3,4,1,6,2,1.8,0.79,2,2,1,0,'02510120'
0,5,4,9,0,1.8,3.52,1.8,2,3,0,'02510350'
0,3,2,5,0,1.8,1.7,1.8,2,3,0,'02510350'
0,3,2,5,0,0.9,1.7,1.8,2,1,1,'02510150'
0,3,2,5,0,1.8,1.7,1.8,2,1,0,'02510120'
0,3,2,5,0,0.45,0.79,1.8,0,5,0,'02540250'
0,5,4,9,0,2.1,2.61,2.1,0,5,1,'02540260'
0,3,2,5,0,0.75,1.7,1.8,0,5,1,'02540260'
0,3,2,5,0,0.9,1.655,1.8,0,5,1,'02540260'
0,3,2,5,0,1.15,1.245,1.8,0,5,1,'02540260'
2,2,1,2,1,0.8,0.79,2.25,2,0,2,'02510090'
0,3,2,5,0,1.8,1.7,2.25,0,5,1,'02540260'
2,3,2,3,2,0.95,1.7,1.8,2,0,1,'02510060'
2,2,1,2,1,0.9,0.335,1.8,0,5,0,'02540170'
0,3,2,5,0,0.3,0.79,0.3,0,5,0,'02540170'
0,3,2,5,0,0.7,0.79,1.8,0,5,0,'02540250'
0,3,2,5,0,0.9,0.79,1.8,0,5,0,'02540250'
0,3,2,5,0,0.9,1.245,3,0,5,1,'02540260'
4,3,1,5,0,1.8,1.78,1.9,2,1,1,'02510120'
4,3,1,5,0,1.8,0.63,1.8,1,5,1,'02540420'
0,3,2,5,0,1.8,1.7,1.9,2,2,1,'02510190'
0,3,2,5,0,1.8,1.7,1.8,2,1,0,'02510120'
3,4,1,6,2,2,0.79,2,2,0,0,'02510030'
3,4,1,6,2,1.8,0.79,1.8,2,2,0,'02510190'
0,4,3,7,0,1.8,2.76,1.8,2,4,0,'02510260'
0,4,3,7,0,1.05,2.76,3.05,2,4,1,'02510290'
0,5,4,9,0,1.8,0.79,1.8,2,4,0,'02510260'
0,4,3,7,0,1.8,2.61,1.8,2,1,0,'02510120'
0,3,2,5,0,1.8,2.31,1.8,2,1,0,'02510120'
0,3,2,5,0,0.4,0.79,1.8,2,1,2,'02510180'
0,3,2,5,0,0.4,2.31,2.3,2,1,2,'02510180'
0,3,2,5,0,0.4,1.7,2.3,2,1,2,'02510180'
2,2,1,2,1,1.8,0.79,1.8,2,0,0,'02510030'
0,3,2,5,0,0.55,1.8,3,2,4,2,'02510320'
0,3,2,5,0,1.15,1.87,1.6,0,5,1,'02540260'
0,3,2,5,0,1.15,1.7,1.6,0,5,1,'02540260'
0,5,4,9,0,1.15,3.52,1.8,2,1,1,'02510150'
0,3,2,5,0,0.9,0.79,1.8,2,1,1,'02510150'
0,3,2,5,0,1.1,0.36,2.5,0,5,0,'02540170'
0,3,2,5,0,2.2,0.36,2.5,0,5,0,'02540170'
4,3,1,5,0,2.2,0.36,2.5,0,5,0,'02540170'
2,3,2,3,2,2.4,1.26,2.25,1,5,1,'02540040'
4,3,1,5,0,2.2,0.6,2.5,0,5,1,'02540180'
2,2,1,2,1,2,0.805,2,2,0,0,'02510030'
2,2,1,2,1,2,0.62,2,2,0,0,'02510030'
4,3,1,5,0,0.5,0.6,1.9,2,0,2,'02510090'
2,2,1,2,1,2,0.805,1.85,2,0,0,'02510030'
0,3,2,5,0,0.9,1.715,2,0,5,1,'02540180'
4,3,1,5,0,0.7,0.805,2,0,5,0,'02540170'
3,4,1,7,2,2,0.805,2,2,0,0,'02510030'
3,5,1,6,4,2.3,1.26,2.3,2,0,0,'02510030'
0,3,2,5,0,1.1,0.36,2.5,0,5,0,'02540170'
0,3,2,5,0,2.2,0.36,2.5,0,5,0,'02540170'
4,3,1,5,0,2.2,0.36,2.5,0,5,0,'02540170'
2,3,2,3,2,2.4,1.26,2.25,1,5,1,'02540040'
4,3,1,5,0,2.2,0.6,2.5,0,5,1,'02540180'
2,2,1,2,1,2,0.805,2,2,0,0,'02510030'
2,2,1,2,1,2,0.62,2,2,0,0,'02510030'
4,3,1,5,0,0.5,0.6,1.9,2,0,2,'02510090'
2,2,1,2,1,2,0.805,1.85,2,0,0,'02510030'
0,3,2,5,0,0.9,1.715,2,0,5,1,'02540180'
4,3,1,5,0,0.7,0.805,2,0,5,0,'02540170'
3,4,1,7,2,2,0.805,2,2,0,0,'02510030'
3,5,1,6,4,2.3,1.26,2.3,2,0,0,'02510030'
4,3,1,5,0,1.8,0.4,2.2,1,5,0,'02530030'
2,2,1,2,1,2.4,0.805,2.5,1,5,1,'02530120'
4,3,1,5,0,0.7,0.4,2.2,1,5,0,'02540420'
3,4,1,8,0,2,0.805,2,2,0,0,'02510030'
3,4,1,6,2,2,0.805,2,1,5,1,'02530300'
2,3,2,3,2,2,0.805,2,2,0,0,'02510030'
4,3,1,5,0,0.75,0.6,2.2,1,5,0,'02540420'
2,2,1,2,1,2,0.805,2,2,0,0,'02510030'
4,3,1,5,0,0.5,1.5,1.5,1,5,0,'02540420'
2,2,1,2,1,1.1,0.805,2.2,2,1,1,'02510140'
0,3,2,5,0,1.1,1.715,2.2,0,5,1,'02540260'
0,4,3,7,0,2,2.17,2,2,0,0,'02510030'
0,3,2,5,0,2,1.715,2.2,0,5,1,'02540260'
0,5,4,9,0,2,2.625,2.2,0,5,1,'02540260'
0,4,3,7,0,2.2,2.625,2.2,2,0,0,'02510030'
3,5,1,6,4,2.2,2.625,2.2,2,0,0,'02510030'
0,3,2,5,0,2.2,1.715,2.2,2,1,0,'02510120'
4,3,1,5,0,0.5,0.6,1.95,2,1,2,'02510180'
2,3,2,3,2,2,0.805,2.1,2,0,0,'02510030'
2,2,1,2,1,1.1,0.35,2.2,1,5,0,'02540430'
0,3,2,5,0,0.9,0.79,1.8,1,5,0,'02540010'
6,5,4,11,0,1.05,2.61,2,1,5,1,'02540010'
0,3,2,5,0,0.9,1.7,1.8,1,5,1,'02540010'
0,5,4,9,0,1.8,3.52,1.8,1,5,1,'02540010'
0,5,4,9,0,2.2,2.61,2.2,1,5,1,'02540010'
0,3,2,5,0,2.2,3.52,2.2,1,5,1,'02540010'
0,5,4,9,0,1.35,2.61,2.3,1,5,1,'02540010'
2,2,1,3,1,1.8,0.79,1.8,1,5,1,'02540010'
0,3,2,5,0,0.6,0.79,1.8,1,5,0,'02540010'
0,3,2,5,0,0.65,0.634,2.2,1,5,0,'02540010'
0,3,2,5,0,1.8,1.7,1.8,1,5,1,'02540010'
0,5,4,9,0,1.8,2.61,1.8,1,5,1,'02540010'
3,4,1,8,0,1.8,0.79,1.8,1,5,1,'02540010'
0,3,2,5,0,0.95,1.75,0.95,1,5,1,'02540010'
2,2,1,2,1,1.8,0.89,1.8,1,5,1,'02540010'
0,3,2,5,0,0.9,1.73,2.1,0,5,1,'02540220'
0,3,2,5,0,0.9,1.26,1.8,1,5,1,'02530020'
2,2,1,2,1,2,0.805,2,2,0,0,'02510010'
3,5,1,6,4,2.3,1.715,2.3,2,0,0,'02510010'
0,3,2,5,0,0.9,1.715,1.8,1,5,1,'02530020'
0,4,3,7,0,0.9,2.625,1.8,1,5,1,'02530020'
2,2,1,2,1,1.75,1.105,1.75,2,0,0,'02510010'
0,3,2,5,0,1.75,1.715,1.75,2,3,0,'02510350'
0,3,2,5,0,1.7,1.42,1.7,1,5,1,'02530020'
3,4,1,8,0,2,0.805,2,2,0,0,'02510010'
0,3,2,5,0,0.9,1.795,2.1,1,5,1,'02530020'
7,0,0,0,0,2.05,2.495,0,0,0,0,'02530440'
7,0,0,0,0,2.05,1.495,0,0,0,0,'02530590'
3,4,1,5,2,1.8,0.805,1.8,1,5,1,'02540010'
2,2,1,2,1,1.8,0.805,1.8,1,5,1,'02540010'
2,2,1,3,1,1.8,0.805,1.8,1,5,1,'02540010'
2,2,1,3,1,1.8,1.015,1.8,1,5,1,'02540010'
0,3,2,8,0,1.8,1.745,1.8,1,5,1,'02540010'
2,2,1,2,1,1.8,0.835,1.8,1,5,1,'02540010'
0,3,2,5,0,1.8,1.745,1.8,1,5,1,'02540010'
0,4,3,7,0,1.8,2.625,1.8,1,5,1,'02540010'
0,3,2,8,0,1.8,1.715,1.8,1,5,1,'02540010'
2,2,1,3,1,1.8,0.835,1.8,1,5,1,'02540010'
3,4,1,5,2,1.8,0.815,1.8,1,5,1,'02540010'
3,4,1,5,2,1.8,0.795,1.8,1,5,1,'02540010'
0,3,2,5,0,1.8,1.715,1.8,1,5,1,'02540010'
0,3,2,5,0,1.8,1.735,1.8,1,5,1,'02540010'
0,3,2,8,0,1.8,1.73,1.8,1,5,1,'02540010'
9,3,2,6,0,0.9,1.685,3.9,0,5,1,'02540180'
2,2,1,2,1,1.76,0.805,1.76,2,0,0,'02510030'
0,3,2,5,0,0.5,1.815,2.8,2,1,2,'02510180'
0,3,2,5,0,0.5,1.815,2.3,2,1,2,'02510180'
0,3,2,5,0,0.85,1.715,2.05,0,5,1,'02540180'
0,3,2,5,0,1.3,1.715,2.25,0,5,1,'02540180'
0,5,4,9,0,1.3,2.625,2.25,0,5,1,'02540180'
0,3,2,5,0,1.2,1.715,2.25,2,1,1,'02510180'
0,3,2,5,0,0.5,1.715,2.25,2,1,2,'02510180'
0,3,2,5,0,0.9,1.715,1.7,0,5,1,'02540260'
0,3,2,5,0,0.5,1.78,2.8,2,1,2,'02510180'
0,3,2,5,0,2,1.715,2,2,0,0,'02510030'
2,2,1,2,1,1.85,0.805,2.05,2,0,0,'02510030'
0,5,4,9,0,0.7,2.625,1.8,0,5,1,'02540260'
4,3,1,5,0,0.7,1.265,1.8,1,5,0,'02540420'
0,3,2,5,0,0.5,1.715,2.6,2,1,2,'02510180'
0,3,2,5,0,0.5,1.815,1.8,2,1,2,'02510180'
2,2,1,2,1,0.85,0.915,1,2,0,1,'02510060'
2,6,1,8,1,1.8,1.745,1.8,1,5,1,'02540020'
0,3,2,5,0,1.8,1.685,1.8,1,5,1,'02540140'
2,2,1,2,1,1.72,0.715,1.72,2,0,0,'02510030'
